2025-05-05 10:33:09.047 +03:00 [WRN] The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert.
2025-05-05 10:33:22.298 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:22.2978306Z","Controller":null,"Action":null,"User":"Anonymous","ExecutionTimeMs":0}
2025-05-05 10:33:36.775 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:36.7758761Z","Controller":"Users","Action":"Login","User":"Anonymous","ExecutionTimeMs":85}
2025-05-05 10:33:36.925 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:36.9257936Z","Controller":"Shoes","Action":"GetAll","User":"johndoe","ExecutionTimeMs":16}
2025-05-05 10:33:43.746 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:43.7468022Z","Controller":"Shoes","Action":"Get","User":"johndoe","ExecutionTimeMs":2}
2025-05-05 10:33:43.756 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:43.7568890Z","Controller":"Shoes","Action":"Update","User":"johndoe","ExecutionTimeMs":6}
2025-05-05 10:33:43.760 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:33:43.7606623Z","Controller":"Shoes","Action":"GetAll","User":"johndoe","ExecutionTimeMs":0}
2025-05-05 10:34:13.778 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:34:13.7780062Z","Controller":"Users","Action":"GetAll","User":"johndoe","ExecutionTimeMs":6}
2025-05-05 10:34:41.247 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:34:41.2476526Z","Controller":"Users","Action":"Login","User":"Anonymous","ExecutionTimeMs":0}
2025-05-05 10:34:41.263 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:34:41.2636198Z","Controller":"Shoes","Action":"GetAll","User":"janesmith","ExecutionTimeMs":0}
2025-05-05 10:35:00.262 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:00.2625185Z","Controller":"Shoes","Action":"GetAll","User":"janesmith","ExecutionTimeMs":0}
2025-05-05 10:35:05.710 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:05.7101531Z","Controller":"Shoes","Action":"Delete","User":"janesmith","ExecutionTimeMs":6}
2025-05-05 10:35:05.712 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:05.7126588Z","Controller":"Shoes","Action":"GetAll","User":"janesmith","ExecutionTimeMs":0}
2025-05-05 10:35:16.727 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:16.7276400Z","Controller":"Users","Action":"Login","User":"Anonymous","ExecutionTimeMs":0}
2025-05-05 10:35:16.745 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:16.7457351Z","Controller":"Shoes","Action":"GetAll","User":"johndoe","ExecutionTimeMs":0}
2025-05-05 10:35:29.176 +03:00 [INF] Request Info: {"Timestamp":"2025-05-05T07:35:29.1769391Z","Controller":"Shoes","Action":"GetAll","User":"johndoe","ExecutionTimeMs":0}
